2018-12-18 05:44:45 status half-installed libpam-modules:amd64 1.1.8-3.2ubuntu2
2018-12-18 05:44:45 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2018-12-18 05:44:45 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2018-12-18 05:44:45 install libpam-modules-bin:amd64 <none> 1.1.8-3.2ubuntu2
2018-12-18 05:44:45 status half-installed libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2018-12-18 05:44:45 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2018-12-18 05:44:45 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2018-12-18 05:44:45 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2018-12-18 05:44:45 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2018-12-18 05:44:45 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2018-12-18 05:44:45 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2018-12-18 05:44:45 install libpam0g:amd64 <none> 1.1.8-3.2ubuntu2
2018-12-18 05:44:45 status half-installed libpam0g:amd64 1.1.8-3.2ubuntu2
2018-12-18 05:44:45 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2018-12-18 05:44:45 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2018-12-18 05:44:45 install libpcre3:amd64 <none> 2:8.38-3.1
2018-12-18 05:44:45 status half-installed libpcre3:amd64 2:8.38-3.1
2018-12-18 05:44:45 status unpacked libpcre3:amd64 2:8.38-3.1
2018-12-18 05:44:45 status unpacked libpcre3:amd64 2:8.38-3.1
2018-12-18 05:44:45 install libprocps4:amd64 <none> 2:3.3.10-4ubuntu2
2018-12-18 05:44:45 status half-installed libprocps4:amd64 2:3.3.10-4ubuntu2
2018-12-18 05:44:45 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2018-12-18 05:44:45 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2018-12-18 05:44:45 install libseccomp2:amd64 <none> 2.2.3-3ubuntu3
2018-12-18 05:44:45 status half-installed libseccomp2:amd64 2.2.3-3ubuntu3
2018-12-18 05:44:45 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2018-12-18 05:44:45 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2018-12-18 05:44:45 install libselinux1:amd64 <none> 2.4-3build2
2018-12-18 05:44:45 status half-installed libselinux1:amd64 2.4-3build2
2018-12-18 05:44:45 status unpacked libselinux1:amd64 2.4-3build2
2018-12-18 05:44:45 status unpacked libselinux1:amd64 2.4-3build2
2018-12-18 05:44:45 install libsemanage-common:all <none> 2.3-1build3
2018-12-18 05:44:45 status half-installed libsemanage-common:all 2.3-1build3
